"n","tau","kappa","estimator","metric","value"
500,0.5,0.25,"Full-GMM","Bias (alpha_true - alpha_hat)",0.0233999999999999
500,0.5,0.25,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.0133999999999999
500,0.5,0.1,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.1954
500,0.5,0.1,"Full-GMM","Bias (alpha_true - alpha_hat)",0.0345999999999999
500,0.5,0.1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.0127999999999999
500,0.75,1,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.130289750196081
500,0.75,1,"Full-GMM","Bias (alpha_true - alpha_hat)",0.211489750196081
500,0.75,1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.0396897501960815
500,0.75,0.5,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.120089750196081
500,0.75,0.5,"Full-GMM","Bias (alpha_true - alpha_hat)",0.288089750196081
500,0.75,0.5,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.0990897501960814
500,0.75,0.25,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.152489750196081
500,0.75,0.25,"Full-GMM","Bias (alpha_true - alpha_hat)",0.436289750196081
500,0.75,0.25,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.298489750196081
500,0.75,0.1,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.209289750196081
500,0.75,0.1,"Full-GMM","Bias (alpha_true - alpha_hat)",0.451489750196081
500,0.75,0.1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.309089750196081
500,0.9,1,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.247951565544601
500,0.9,1,"Full-GMM","Bias (alpha_true - alpha_hat)",0.749551565544601
500,0.9,1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.129951565544601
500,0.9,0.5,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.272551565544601
500,0.9,0.5,"Full-GMM","Bias (alpha_true - alpha_hat)",1.0213515655446
500,0.9,0.5,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.441551565544601
500,0.9,0.25,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.420351565544601
500,0.9,0.25,"Full-GMM","Bias (alpha_true - alpha_hat)",1.1927515655446
500,0.9,0.25,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.711951565544601
500,0.9,0.1,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.644751565544601
500,0.9,0.1,"Full-GMM","Bias (alpha_true - alpha_hat)",1.1417515655446
500,0.9,0.1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.765151565544601
1000,0.1,1,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.00324843445539913
1000,0.1,1,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.336751565544601
1000,0.1,1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.0647515655446009
1000,0.1,0.5,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.156751565544601
1000,0.1,0.5,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.442151565544601
1000,0.1,0.5,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.100151565544601
1000,0.1,0.25,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.682751565544601
1000,0.1,0.25,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.815151565544601
1000,0.1,0.25,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.362351565544601
1000,0.1,0.1,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.854151565544601
1000,0.1,0.1,"Full-GMM","Bias (alpha_true - alpha_hat)",-1.0083515655446
1000,0.1,0.1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.589351565544601
1000,0.25,1,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.0355102498039182
1000,0.25,1,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.114489750196082
1000,0.25,1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.0256897501960818
1000,0.25,0.5,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.0144897501960818
1000,0.25,0.5,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.140689750196082
1000,0.25,0.5,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.0364897501960818
1000,0.25,0.25,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.234289750196082
1000,0.25,0.25,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.227089750196082
1000,0.25,0.25,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.122889750196082
1000,0.25,0.1,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.487889750196082
1000,0.25,0.1,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.428089750196082
1000,0.25,0.1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.303889750196082
1000,0.5,1,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.0509999999999999
1000,0.5,1,"Full-GMM","Bias (alpha_true - alpha_hat)",0.00139999999999993
1000,0.5,1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.00600000000000005
1000,0.5,0.5,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.0405999999999999
1000,0.5,0.5,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.000600000000000104
1000,0.5,0.5,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.00680000000000008
1000,0.5,0.25,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.0254000000000001
1000,0.5,0.25,"Full-GMM","Bias (alpha_true - alpha_hat)",0.0211999999999999
1000,0.5,0.25,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.0126000000000001
1000,0.5,0.1,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.1544
1000,0.5,0.1,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.0182000000000001
1000,0.5,0.1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.00179999999999988
1000,0.75,1,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.0968897501960815
1000,0.75,1,"Full-GMM","Bias (alpha_true - alpha_hat)",0.112289750196081
1000,0.75,1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.0148897501960815
1000,0.75,0.5,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.0884897501960814
1000,0.75,0.5,"Full-GMM","Bias (alpha_true - alpha_hat)",0.134689750196081
1000,0.75,0.5,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.0322897501960814
1000,0.75,0.25,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.116689750196081
1000,0.75,0.25,"Full-GMM","Bias (alpha_true - alpha_hat)",0.225289750196081
1000,0.75,0.25,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.119089750196081
1000,0.75,0.1,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.0842897501960814
1000,0.75,0.1,"Full-GMM","Bias (alpha_true - alpha_hat)",0.408289750196081
1000,0.75,0.1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.285289750196081
1000,0.9,1,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.178951565544601
1000,0.9,1,"Full-GMM","Bias (alpha_true - alpha_hat)",0.378951565544601
1000,0.9,1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.0597515655446006
1000,0.9,0.5,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.216551565544601
1000,0.9,0.5,"Full-GMM","Bias (alpha_true - alpha_hat)",0.511151565544601
1000,0.9,0.5,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.189751565544601
1000,0.9,0.25,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.335551565544601
1000,0.9,0.25,"Full-GMM","Bias (alpha_true - alpha_hat)",0.812151565544601
1000,0.9,0.25,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.489951565544601
1000,0.9,0.1,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.524351565544601
1000,0.9,0.1,"Full-GMM","Bias (alpha_true - alpha_hat)",1.0429515655446
1000,0.9,0.1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.671551565544601
