"n","tau","kappa","estimator","delta","power","false_acceptance","successful_power_evaluations","failed_power_evaluations"
500,0.1,0.1,"Oracle-GMM",-0.25,0.062,0.938,500,0
500,0.1,0.1,"Oracle-GMM",0.25,0.052,0.948,500,0
500,0.1,0.1,"Oracle-GMM",0.5,0.07,0.93,500,0
500,0.1,0.1,"Oracle-GMM",1,0.056,0.944,500,0
500,0.1,0.1,"Full-GMM",-1,0.056,0.944,500,0
500,0.1,0.1,"Full-GMM",-0.5,0.052,0.948,500,0
500,0.1,0.1,"Full-GMM",-0.25,0.072,0.928,500,0
500,0.1,0.1,"Full-GMM",0.25,0.07,0.93,500,0
500,0.1,0.1,"Full-GMM",0.5,0.058,0.942,500,0
500,0.1,0.1,"Full-GMM",1,0.038,0.962,500,0
500,0.1,0.1,"DML-IVQR-BC",-1,0.194,0.806,500,0
500,0.1,0.1,"DML-IVQR-BC",-0.5,0.136,0.864,500,0
500,0.1,0.1,"DML-IVQR-BC",-0.25,0.1,0.9,500,0
500,0.1,0.1,"DML-IVQR-BC",0.25,0.058,0.942,500,0
500,0.1,0.1,"DML-IVQR-BC",0.5,0.062,0.938,500,0
500,0.1,0.1,"DML-IVQR-BC",1,0.054,0.946,500,0
500,0.25,1,"Oracle-GMM",-1,1,0,500,0
500,0.25,1,"Oracle-GMM",-0.5,0.994,0.006,500,0
500,0.25,1,"Oracle-GMM",-0.25,0.818,0.182,500,0
500,0.25,1,"Oracle-GMM",0.25,0.45,0.55,500,0
500,0.25,1,"Oracle-GMM",0.5,0.93,0.07,500,0
500,0.25,1,"Oracle-GMM",1,1,0,500,0
500,0.25,1,"Full-GMM",-1,1,0,500,0
500,0.25,1,"Full-GMM",-0.5,0.928,0.072,500,0
500,0.25,1,"Full-GMM",-0.25,0.692,0.308,500,0
500,0.25,1,"Full-GMM",0.25,0.052,0.948,500,0
500,0.25,1,"Full-GMM",0.5,0.242,0.758,500,0
500,0.25,1,"Full-GMM",1,0.908,0.092,500,0
500,0.25,1,"DML-IVQR-BC",-1,1,0,500,0
500,0.25,1,"DML-IVQR-BC",-0.5,0.94,0.06,500,0
500,0.25,1,"DML-IVQR-BC",-0.25,0.402,0.598,500,0
500,0.25,1,"DML-IVQR-BC",0.25,0.248,0.752,500,0
500,0.25,1,"DML-IVQR-BC",0.5,0.668,0.332,500,0
500,0.25,1,"DML-IVQR-BC",1,0.98,0.02,500,0
500,0.25,0.5,"Oracle-GMM",-1,0.906,0.094,500,0
500,0.25,0.5,"Oracle-GMM",-0.5,0.618,0.382,500,0
500,0.25,0.5,"Oracle-GMM",-0.25,0.33,0.67,500,0
500,0.25,0.5,"Oracle-GMM",0.25,0.138,0.862,500,0
500,0.25,0.5,"Oracle-GMM",0.5,0.33,0.67,500,0
500,0.25,0.5,"Oracle-GMM",1,0.654,0.346,500,0
500,0.25,0.5,"Full-GMM",-1,0.762,0.238,500,0
500,0.25,0.5,"Full-GMM",-0.5,0.448,0.552,500,0
500,0.25,0.5,"Full-GMM",-0.25,0.242,0.758,500,0
500,0.25,0.5,"Full-GMM",0.25,0.054,0.946,500,0
500,0.25,0.5,"Full-GMM",0.5,0.092,0.908,500,0
500,0.25,0.5,"Full-GMM",1,0.308,0.692,500,0
500,0.25,0.5,"DML-IVQR-BC",-1,0.93,0.07,500,0
500,0.25,0.5,"DML-IVQR-BC",-0.5,0.53,0.47,500,0
500,0.25,0.5,"DML-IVQR-BC",-0.25,0.17,0.83,500,0
500,0.25,0.5,"DML-IVQR-BC",0.25,0.042,0.958,500,0
500,0.25,0.5,"DML-IVQR-BC",0.5,0.144,0.856,500,0
500,0.25,0.5,"DML-IVQR-BC",1,0.316,0.684,500,0
500,0.25,0.25,"Oracle-GMM",-1,0.37,0.63,500,0
500,0.25,0.25,"Oracle-GMM",-0.5,0.224,0.776,500,0
500,0.25,0.25,"Oracle-GMM",-0.25,0.106,0.894,500,0
500,0.25,0.25,"Oracle-GMM",0.25,0.072,0.928,500,0
500,0.25,0.25,"Oracle-GMM",0.5,0.1,0.9,500,0
500,0.25,0.25,"Oracle-GMM",1,0.178,0.822,500,0
500,0.25,0.25,"Full-GMM",-1,0.292,0.708,500,0
500,0.25,0.25,"Full-GMM",-0.5,0.184,0.816,500,0
500,0.25,0.25,"Full-GMM",-0.25,0.12,0.88,500,0
500,0.25,0.25,"Full-GMM",0.25,0.054,0.946,500,0
500,0.25,0.25,"Full-GMM",0.5,0.07,0.93,500,0
500,0.25,0.25,"Full-GMM",1,0.122,0.878,500,0
500,0.25,0.25,"DML-IVQR-BC",-1,0.456,0.544,500,0
500,0.25,0.25,"DML-IVQR-BC",-0.5,0.214,0.786,500,0
500,0.25,0.25,"DML-IVQR-BC",-0.25,0.098,0.902,500,0
500,0.25,0.25,"DML-IVQR-BC",0.25,0.03,0.97,500,0
500,0.25,0.25,"DML-IVQR-BC",0.5,0.052,0.948,500,0
500,0.25,0.25,"DML-IVQR-BC",1,0.064,0.936,500,0
500,0.25,0.1,"Oracle-GMM",-1,0.104,0.896,500,0
500,0.25,0.1,"Oracle-GMM",-0.5,0.078,0.922,500,0
500,0.25,0.1,"Oracle-GMM",-0.25,0.07,0.93,500,0
500,0.25,0.1,"Oracle-GMM",0.25,0.066,0.934,500,0
500,0.25,0.1,"Oracle-GMM",0.5,0.05,0.95,500,0
500,0.25,0.1,"Oracle-GMM",1,0.064,0.936,500,0
500,0.25,0.1,"Full-GMM",-1,0.108,0.892,500,0
500,0.25,0.1,"Full-GMM",-0.5,0.068,0.932,500,0
500,0.25,0.1,"Full-GMM",-0.25,0.078,0.922,500,0
500,0.25,0.1,"Full-GMM",0.25,0.044,0.956,500,0
500,0.25,0.1,"Full-GMM",0.5,0.05,0.95,500,0
500,0.25,0.1,"Full-GMM",1,0.072,0.928,500,0
500,0.25,0.1,"DML-IVQR-BC",-1,0.168,0.832,500,0
500,0.25,0.1,"DML-IVQR-BC",-0.5,0.114,0.886,500,0
500,0.25,0.1,"DML-IVQR-BC",-0.25,0.072,0.928,500,0
500,0.25,0.1,"DML-IVQR-BC",0.25,0.038,0.962,500,0
500,0.25,0.1,"DML-IVQR-BC",0.5,0.034,0.966,500,0
500,0.25,0.1,"DML-IVQR-BC",1,0.044,0.956,500,0
500,0.5,1,"Oracle-GMM",-1,1,0,500,0
500,0.5,1,"Oracle-GMM",-0.5,0.99,0.01,500,0
500,0.5,1,"Oracle-GMM",-0.25,0.73,0.27,500,0
500,0.5,1,"Oracle-GMM",0.25,0.734,0.266,500,0
500,0.5,1,"Oracle-GMM",0.5,0.994,0.006,500,0
500,0.5,1,"Oracle-GMM",1,1,0,500,0
500,0.5,1,"Full-GMM",-1,1,0,500,0
500,0.5,1,"Full-GMM",-0.5,0.79,0.21,500,0
500,0.5,1,"Full-GMM",-0.25,0.312,0.688,500,0
500,0.5,1,"Full-GMM",0.25,0.324,0.676,500,0
500,0.5,1,"Full-GMM",0.5,0.854,0.146,500,0
500,0.5,1,"Full-GMM",1,1,0,500,0
500,0.5,1,"DML-IVQR-BC",-1,1,0,500,0
500,0.5,1,"DML-IVQR-BC",-0.5,0.962,0.038,500,0
500,0.5,1,"DML-IVQR-BC",-0.25,0.398,0.602,500,0
500,0.5,1,"DML-IVQR-BC",0.25,0.716,0.284,500,0
500,0.5,1,"DML-IVQR-BC",0.5,0.984,0.016,500,0
500,0.5,1,"DML-IVQR-BC",1,1,0,500,0
500,0.5,0.5,"Oracle-GMM",-1,0.838,0.162,500,0
500,0.5,0.5,"Oracle-GMM",-0.5,0.552,0.448,500,0
500,0.5,0.5,"Oracle-GMM",-0.25,0.23,0.77,500,0
500,0.5,0.5,"Oracle-GMM",0.25,0.22,0.78,500,0
500,0.5,0.5,"Oracle-GMM",0.5,0.56,0.44,500,0
500,0.5,0.5,"Oracle-GMM",1,0.924,0.076,500,0
500,0.5,0.5,"Full-GMM",-1,0.63,0.37,500,0
500,0.5,0.5,"Full-GMM",-0.5,0.26,0.74,500,0
500,0.5,0.5,"Full-GMM",-0.25,0.122,0.878,500,0
500,0.5,0.5,"Full-GMM",0.25,0.116,0.884,500,0
500,0.5,0.5,"Full-GMM",0.5,0.276,0.724,500,0
500,0.5,0.5,"Full-GMM",1,0.704,0.296,500,0
500,0.5,0.5,"DML-IVQR-BC",-1,0.894,0.106,500,0
500,0.5,0.5,"DML-IVQR-BC",-0.5,0.466,0.534,500,0
500,0.5,0.5,"DML-IVQR-BC",-0.25,0.156,0.844,500,0
500,0.5,0.5,"DML-IVQR-BC",0.25,0.144,0.856,500,0
500,0.5,0.5,"DML-IVQR-BC",0.5,0.392,0.608,500,0
500,0.5,0.5,"DML-IVQR-BC",1,0.754,0.246,500,0
500,0.5,0.25,"Oracle-GMM",-1,0.294,0.706,500,0
500,0.5,0.25,"Oracle-GMM",-0.5,0.144,0.856,500,0
500,0.5,0.25,"Oracle-GMM",-0.25,0.096,0.904,500,0
500,0.5,0.25,"Oracle-GMM",0.25,0.09,0.91,500,0
500,0.5,0.25,"Oracle-GMM",0.5,0.164,0.836,500,0
500,0.5,0.25,"Oracle-GMM",1,0.33,0.67,500,0
500,0.5,0.25,"Full-GMM",-1,0.202,0.798,500,0
500,0.5,0.25,"Full-GMM",-0.5,0.094,0.906,500,0
500,0.5,0.25,"Full-GMM",-0.25,0.08,0.92,500,0
500,0.5,0.25,"Full-GMM",0.25,0.052,0.948,500,0
500,0.5,0.25,"Full-GMM",0.5,0.082,0.918,500,0
500,0.5,0.25,"Full-GMM",1,0.216,0.784,500,0
500,0.5,0.25,"DML-IVQR-BC",-1,0.354,0.646,500,0
500,0.5,0.25,"DML-IVQR-BC",-0.5,0.168,0.832,500,0
500,0.5,0.25,"DML-IVQR-BC",-0.25,0.094,0.906,500,0
500,0.5,0.25,"DML-IVQR-BC",0.25,0.054,0.946,500,0
500,0.5,0.25,"DML-IVQR-BC",0.5,0.072,0.928,500,0
500,0.5,0.25,"DML-IVQR-BC",1,0.178,0.822,500,0
500,0.5,0.1,"Oracle-GMM",-1,0.102,0.898,500,0
500,0.5,0.1,"Oracle-GMM",-0.5,0.074,0.926,500,0
500,0.5,0.1,"Oracle-GMM",-0.25,0.068,0.932,500,0
500,0.5,0.1,"Oracle-GMM",0.25,0.066,0.934,500,0
500,0.5,0.1,"Oracle-GMM",0.5,0.062,0.938,500,0
500,0.5,0.1,"Oracle-GMM",1,0.062,0.938,500,0
500,0.5,0.1,"Full-GMM",-1,0.098,0.902,500,0
500,0.5,0.1,"Full-GMM",-0.5,0.088,0.912,500,0
500,0.5,0.1,"Full-GMM",-0.25,0.064,0.936,500,0
500,0.5,0.1,"Full-GMM",0.25,0.044,0.956,500,0
500,0.5,0.1,"Full-GMM",0.5,0.06,0.94,500,0
500,0.5,0.1,"Full-GMM",1,0.088,0.912,500,0
500,0.5,0.1,"DML-IVQR-BC",-1,0.116,0.884,500,0
500,0.5,0.1,"DML-IVQR-BC",-0.5,0.104,0.896,500,0
500,0.5,0.1,"DML-IVQR-BC",-0.25,0.066,0.934,500,0
500,0.5,0.1,"DML-IVQR-BC",0.25,0.032,0.968,500,0
500,0.5,0.1,"DML-IVQR-BC",0.5,0.03,0.97,500,0
500,0.5,0.1,"DML-IVQR-BC",1,0.056,0.944,500,0
500,0.75,1,"Oracle-GMM",-1,0.99,0.01,500,0
500,0.75,1,"Oracle-GMM",-0.5,0.832,0.168,500,0
500,0.75,1,"Oracle-GMM",-0.25,0.366,0.634,500,0
500,0.75,1,"Oracle-GMM",0.25,0.772,0.228,500,0
500,0.75,1,"Oracle-GMM",0.5,1,0,500,0
500,0.75,1,"Oracle-GMM",1,1,0,500,0
500,0.75,1,"Full-GMM",-1,0.79,0.21,500,0
500,0.75,1,"Full-GMM",-0.5,0.202,0.798,500,0
500,0.75,1,"Full-GMM",-0.25,0.034,0.966,500,0
500,0.75,1,"Full-GMM",0.25,0.608,0.392,500,0
500,0.75,1,"Full-GMM",0.5,0.922,0.078,500,0
500,0.75,1,"Full-GMM",1,1,0,500,0
500,0.75,1,"DML-IVQR-BC",-1,0.998,0.002,500,0
500,0.75,1,"DML-IVQR-BC",-0.5,0.754,0.246,500,0
500,0.75,1,"DML-IVQR-BC",-0.25,0.16,0.84,500,0
500,0.75,1,"DML-IVQR-BC",0.25,0.896,0.104,500,0
500,0.75,1,"DML-IVQR-BC",0.5,0.998,0.002,500,0
500,0.75,1,"DML-IVQR-BC",1,1,0,500,0
500,0.75,0.5,"Oracle-GMM",-1,0.51,0.49,500,0
500,0.75,0.5,"Oracle-GMM",-0.5,0.252,0.748,500,0
500,0.75,0.5,"Oracle-GMM",-0.25,0.124,0.876,500,0
500,0.75,0.5,"Oracle-GMM",0.25,0.286,0.714,500,0
500,0.75,0.5,"Oracle-GMM",0.5,0.646,0.354,500,0
500,0.75,0.5,"Oracle-GMM",1,0.932,0.068,500,0
500,0.75,0.5,"Full-GMM",-1,0.234,0.766,500,0
500,0.75,0.5,"Full-GMM",-0.5,0.058,0.942,500,0
500,0.75,0.5,"Full-GMM",-0.25,0.04,0.96,500,0
500,0.75,0.5,"Full-GMM",0.25,0.2,0.8,500,0
500,0.75,0.5,"Full-GMM",0.5,0.41,0.59,500,0
500,0.75,0.5,"Full-GMM",1,0.74,0.26,500,0
500,0.75,0.5,"DML-IVQR-BC",-1,0.614,0.386,500,0
500,0.75,0.5,"DML-IVQR-BC",-0.5,0.284,0.716,500,0
500,0.75,0.5,"DML-IVQR-BC",-0.25,0.088,0.912,500,0
500,0.75,0.5,"DML-IVQR-BC",0.25,0.304,0.696,500,0
500,0.75,0.5,"DML-IVQR-BC",0.5,0.574,0.426,500,0
500,0.75,0.5,"DML-IVQR-BC",1,0.844,0.156,500,0
500,0.75,0.25,"Oracle-GMM",-1,0.15,0.85,500,0
500,0.75,0.25,"Oracle-GMM",-0.5,0.086,0.914,500,0
500,0.75,0.25,"Oracle-GMM",-0.25,0.06,0.94,500,0
500,0.75,0.25,"Oracle-GMM",0.25,0.112,0.888,500,0
500,0.75,0.25,"Oracle-GMM",0.5,0.184,0.816,500,0
500,0.75,0.25,"Oracle-GMM",1,0.358,0.642,500,0
500,0.75,0.25,"Full-GMM",-1,0.092,0.908,500,0
500,0.75,0.25,"Full-GMM",-0.5,0.036,0.964,500,0
500,0.75,0.25,"Full-GMM",-0.25,0.04,0.96,500,0
500,0.75,0.25,"Full-GMM",0.25,0.074,0.926,500,0
500,0.75,0.25,"Full-GMM",0.5,0.106,0.894,500,0
500,0.75,0.25,"Full-GMM",1,0.248,0.752,500,0
500,0.75,0.25,"DML-IVQR-BC",-1,0.212,0.788,500,0
500,0.75,0.25,"DML-IVQR-BC",-0.5,0.112,0.888,500,0
500,0.75,0.25,"DML-IVQR-BC",-0.25,0.07,0.93,500,0
500,0.75,0.25,"DML-IVQR-BC",0.25,0.084,0.916,500,0
500,0.75,0.25,"DML-IVQR-BC",0.5,0.158,0.842,500,0
500,0.75,0.25,"DML-IVQR-BC",1,0.23,0.77,500,0
500,0.75,0.1,"Oracle-GMM",-1,0.062,0.938,500,0
500,0.75,0.1,"Oracle-GMM",-0.5,0.056,0.944,500,0
500,0.75,0.1,"Oracle-GMM",-0.25,0.05,0.95,500,0
500,0.75,0.1,"Oracle-GMM",0.25,0.072,0.928,500,0
500,0.75,0.1,"Oracle-GMM",0.5,0.076,0.924,500,0
500,0.75,0.1,"Oracle-GMM",1,0.104,0.896,500,0
500,0.75,0.1,"Full-GMM",-1,0.05,0.95,500,0
500,0.75,0.1,"Full-GMM",-0.5,0.052,0.948,500,0
500,0.75,0.1,"Full-GMM",-0.25,0.042,0.958,500,0
500,0.75,0.1,"Full-GMM",0.25,0.042,0.958,500,0
500,0.75,0.1,"Full-GMM",0.5,0.068,0.932,500,0
500,0.75,0.1,"Full-GMM",1,0.068,0.932,500,0
500,0.75,0.1,"DML-IVQR-BC",-1,0.102,0.898,500,0
500,0.75,0.1,"DML-IVQR-BC",-0.5,0.076,0.924,500,0
500,0.75,0.1,"DML-IVQR-BC",-0.25,0.056,0.944,500,0
500,0.75,0.1,"DML-IVQR-BC",0.25,0.05,0.95,500,0
500,0.75,0.1,"DML-IVQR-BC",0.5,0.044,0.956,500,0
500,0.75,0.1,"DML-IVQR-BC",1,0.058,0.942,500,0
500,0.9,1,"Oracle-GMM",-1,0.658,0.342,500,0
500,0.9,1,"Oracle-GMM",-0.5,0.278,0.722,500,0
500,0.9,1,"Oracle-GMM",-0.25,0.096,0.904,500,0
500,0.9,1,"Oracle-GMM",0.25,0.584,0.416,500,0
500,0.9,1,"Oracle-GMM",0.5,0.954,0.046,500,0
500,0.9,1,"Oracle-GMM",1,1,0,500,0
500,0.9,1,"Full-GMM",-1,0.098,0.902,500,0
500,0.9,1,"Full-GMM",-0.5,0.068,0.932,500,0
500,0.9,1,"Full-GMM",-0.25,0.186,0.814,500,0
500,0.9,1,"Full-GMM",0.25,0.724,0.276,500,0
500,0.9,1,"Full-GMM",0.5,0.834,0.166,500,0
500,0.9,1,"Full-GMM",1,0.96,0.04,500,0
500,0.9,1,"DML-IVQR-BC",-1,0.832,0.168,500,0
500,0.9,1,"DML-IVQR-BC",-0.5,0.262,0.738,500,0
500,0.9,1,"DML-IVQR-BC",-0.25,0.072,0.928,500,0
500,0.9,1,"DML-IVQR-BC",0.25,0.882,0.118,500,0
500,0.9,1,"DML-IVQR-BC",0.5,0.998,0.002,500,0
500,0.9,1,"DML-IVQR-BC",1,1,0,500,0
500,0.9,0.5,"Oracle-GMM",-1,0.166,0.834,500,0
500,0.9,0.5,"Oracle-GMM",-0.5,0.088,0.912,500,0
500,0.9,0.5,"Oracle-GMM",-0.25,0.052,0.948,500,0
500,0.9,0.5,"Oracle-GMM",0.25,0.212,0.788,500,0
500,0.9,0.5,"Oracle-GMM",0.5,0.446,0.554,500,0
500,0.9,0.5,"Oracle-GMM",1,0.794,0.206,500,0
500,0.9,0.5,"Full-GMM",-1,0.038,0.962,500,0
500,0.9,0.5,"Full-GMM",-0.5,0.048,0.952,500,0
500,0.9,0.5,"Full-GMM",-0.25,0.072,0.928,500,0
500,0.9,0.5,"Full-GMM",0.25,0.21,0.79,500,0
500,0.9,0.5,"Full-GMM",0.5,0.324,0.676,500,0
500,0.9,0.5,"Full-GMM",1,0.524,0.476,500,0
500,0.9,0.5,"DML-IVQR-BC",-1,0.3,0.7,500,0
500,0.9,0.5,"DML-IVQR-BC",-0.5,0.102,0.898,500,0
500,0.9,0.5,"DML-IVQR-BC",-0.25,0.054,0.946,500,0
500,0.9,0.5,"DML-IVQR-BC",0.25,0.314,0.686,500,0
500,0.9,0.5,"DML-IVQR-BC",0.5,0.53,0.47,500,0
500,0.9,0.5,"DML-IVQR-BC",1,0.766,0.234,500,0
500,0.9,0.25,"Oracle-GMM",-1,0.078,0.922,500,0
500,0.9,0.25,"Oracle-GMM",-0.5,0.044,0.956,500,0
500,0.9,0.25,"Oracle-GMM",-0.25,0.042,0.958,500,0
500,0.9,0.25,"Oracle-GMM",0.25,0.102,0.898,500,0
500,0.9,0.25,"Oracle-GMM",0.5,0.162,0.838,500,0
500,0.9,0.25,"Oracle-GMM",1,0.26,0.74,500,0
500,0.9,0.25,"Full-GMM",-1,0.058,0.942,500,0
500,0.9,0.25,"Full-GMM",-0.5,0.038,0.962,500,0
500,0.9,0.25,"Full-GMM",-0.25,0.05,0.95,500,0
500,0.9,0.25,"Full-GMM",0.25,0.086,0.914,500,0
500,0.9,0.25,"Full-GMM",0.5,0.116,0.884,500,0
500,0.9,0.25,"Full-GMM",1,0.172,0.828,500,0
500,0.9,0.25,"DML-IVQR-BC",-1,0.11,0.89,500,0
500,0.9,0.25,"DML-IVQR-BC",-0.5,0.086,0.914,500,0
500,0.9,0.25,"DML-IVQR-BC",-0.25,0.064,0.936,500,0
500,0.9,0.25,"DML-IVQR-BC",0.25,0.1,0.9,500,0
500,0.9,0.25,"DML-IVQR-BC",0.5,0.154,0.846,500,0
500,0.9,0.25,"DML-IVQR-BC",1,0.174,0.826,500,0
500,0.9,0.1,"Oracle-GMM",-1,0.062,0.938,500,0
500,0.9,0.1,"Oracle-GMM",-0.5,0.046,0.954,500,0
500,0.9,0.1,"Oracle-GMM",-0.25,0.032,0.968,500,0
500,0.9,0.1,"Oracle-GMM",0.25,0.058,0.942,500,0
500,0.9,0.1,"Oracle-GMM",0.5,0.068,0.932,500,0
500,0.9,0.1,"Oracle-GMM",1,0.096,0.904,500,0
500,0.9,0.1,"Full-GMM",-1,0.026,0.974,500,0
500,0.9,0.1,"Full-GMM",-0.5,0.032,0.968,500,0
500,0.9,0.1,"Full-GMM",-0.25,0.042,0.958,500,0
500,0.9,0.1,"Full-GMM",0.25,0.058,0.942,500,0
500,0.9,0.1,"Full-GMM",0.5,0.052,0.948,500,0
500,0.9,0.1,"Full-GMM",1,0.058,0.942,500,0
500,0.9,0.1,"DML-IVQR-BC",-1,0.05,0.95,500,0
500,0.9,0.1,"DML-IVQR-BC",-0.5,0.064,0.936,500,0
500,0.9,0.1,"DML-IVQR-BC",-0.25,0.056,0.944,500,0
500,0.9,0.1,"DML-IVQR-BC",0.25,0.06,0.94,500,0
500,0.9,0.1,"DML-IVQR-BC",0.5,0.068,0.932,500,0
500,0.9,0.1,"DML-IVQR-BC",1,0.04,0.96,500,0
1000,0.1,1,"Oracle-GMM",-1,1,0,500,0
1000,0.1,1,"Oracle-GMM",-0.5,1,0,500,0
1000,0.1,1,"Oracle-GMM",-0.25,0.938,0.062,500,0
1000,0.1,1,"Oracle-GMM",0.25,0.462,0.538,500,0
1000,0.1,1,"Oracle-GMM",0.5,0.93,0.07,500,0
1000,0.1,1,"Oracle-GMM",1,1,0,500,0
1000,0.1,1,"Full-GMM",-1,1,0,500,0
1000,0.1,1,"Full-GMM",-0.5,0.994,0.006,500,0
1000,0.1,1,"Full-GMM",-0.25,0.882,0.118,500,0
1000,0.1,1,"Full-GMM",0.25,0.1,0.9,500,0
1000,0.1,1,"Full-GMM",0.5,0.126,0.874,500,0
1000,0.1,1,"Full-GMM",1,0.822,0.178,500,0
1000,0.1,1,"DML-IVQR-BC",-1,1,0,500,0
1000,0.1,1,"DML-IVQR-BC",-0.5,0.988,0.012,500,0
1000,0.1,1,"DML-IVQR-BC",-0.25,0.482,0.518,500,0
1000,0.1,1,"DML-IVQR-BC",0.25,0.296,0.704,500,0
1000,0.1,1,"DML-IVQR-BC",0.5,0.696,0.304,500,0
1000,0.1,1,"DML-IVQR-BC",1,0.966,0.034,500,0
1000,0.1,0.5,"Oracle-GMM",-1,0.988,0.012,500,0
1000,0.1,0.5,"Oracle-GMM",-0.5,0.852,0.148,500,0
1000,0.1,0.5,"Oracle-GMM",-0.25,0.438,0.562,500,0
1000,0.1,0.5,"Oracle-GMM",0.25,0.156,0.844,500,0
1000,0.1,0.5,"Oracle-GMM",0.5,0.364,0.636,500,0
1000,0.1,0.5,"Oracle-GMM",1,0.662,0.338,500,0
1000,0.1,0.5,"Full-GMM",-1,0.914,0.086,500,0
1000,0.1,0.5,"Full-GMM",-0.5,0.682,0.318,500,0
1000,0.1,0.5,"Full-GMM",-0.25,0.44,0.56,500,0
1000,0.1,0.5,"Full-GMM",0.25,0.052,0.948,500,0
1000,0.1,0.5,"Full-GMM",0.5,0.046,0.954,500,0
1000,0.1,0.5,"Full-GMM",1,0.274,0.726,500,0
1000,0.1,0.5,"DML-IVQR-BC",-1,0.976,0.024,500,0
1000,0.1,0.5,"DML-IVQR-BC",-0.5,0.678,0.322,500,0
1000,0.1,0.5,"DML-IVQR-BC",-0.25,0.202,0.798,500,0
1000,0.1,0.5,"DML-IVQR-BC",0.25,0.066,0.934,500,0
1000,0.1,0.5,"DML-IVQR-BC",0.5,0.148,0.852,500,0
