"n","tau","kappa","estimator","delta","power","false_acceptance","successful_power_evaluations","failed_power_evaluations","selection_reason"
1000,0.1,0.25,"Full-GMM",-0.5,0.23,0.77,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.25,"Full-GMM",0.5,0.05,0.95,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.25,"DML-IVQR-BC",-0.5,0.306,0.694,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.25,"DML-IVQR-BC",0.5,0.036,0.964,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.1,"Oracle-GMM",-0.5,0.104,0.896,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.1,"Oracle-GMM",0.5,0.058,0.942,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.1,"Full-GMM",-0.5,0.08,0.92,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.1,"Full-GMM",0.5,0.05,0.95,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.1,"DML-IVQR-BC",-0.5,0.118,0.882,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.1,"DML-IVQR-BC",0.5,0.022,0.978,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,1,"Oracle-GMM",-0.5,1,0,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,1,"Oracle-GMM",0.5,1,0,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,1,"Full-GMM",-0.5,0.998,0.002,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,1,"Full-GMM",0.5,0.998,0.002,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,1,"DML-IVQR-BC",-0.5,1,0,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,1,"DML-IVQR-BC",0.5,1,0,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.5,"Oracle-GMM",-0.5,0.85,0.15,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.5,"Oracle-GMM",0.5,0.94,0.06,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.5,"Full-GMM",-0.5,0.634,0.366,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.5,"Full-GMM",0.5,0.726,0.274,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.5,"DML-IVQR-BC",-0.5,0.802,0.198,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.5,"DML-IVQR-BC",0.5,0.852,0.148,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.25,"Oracle-GMM",-0.5,0.316,0.684,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.25,"Oracle-GMM",0.5,0.378,0.622,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.25,"Full-GMM",-0.5,0.212,0.788,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.25,"Full-GMM",0.5,0.238,0.762,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.25,"DML-IVQR-BC",-0.5,0.312,0.688,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.25,"DML-IVQR-BC",0.5,0.286,0.714,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.1,"Oracle-GMM",-0.5,0.082,0.918,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.1,"Oracle-GMM",0.5,0.092,0.908,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.1,"Full-GMM",-0.5,0.076,0.924,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.1,"Full-GMM",0.5,0.098,0.902,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.1,"DML-IVQR-BC",-0.5,0.104,0.896,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.5,0.1,"DML-IVQR-BC",0.5,0.094,0.906,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,1,"Oracle-GMM",-0.5,0.748,0.252,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,1,"Oracle-GMM",0.5,1,0,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,1,"Full-GMM",-0.5,0.112,0.888,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,1,"Full-GMM",0.5,0.982,0.018,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,1,"DML-IVQR-BC",-0.5,0.66,0.34,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,1,"DML-IVQR-BC",0.5,1,0,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.5,"Oracle-GMM",-0.5,0.228,0.772,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.5,"Oracle-GMM",0.5,0.844,0.156,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.5,"Full-GMM",-0.5,0.056,0.944,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.5,"Full-GMM",0.5,0.672,0.328,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.5,"DML-IVQR-BC",-0.5,0.224,0.776,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.5,"DML-IVQR-BC",0.5,0.9,0.1,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.25,"Oracle-GMM",-0.5,0.086,0.914,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.25,"Oracle-GMM",0.5,0.338,0.662,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.25,"Full-GMM",-0.5,0.05,0.95,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.25,"Full-GMM",0.5,0.258,0.742,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.25,"DML-IVQR-BC",-0.5,0.126,0.874,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.25,"DML-IVQR-BC",0.5,0.306,0.694,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.1,"Oracle-GMM",-0.5,0.062,0.938,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.1,"Oracle-GMM",0.5,0.096,0.904,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.1,"Full-GMM",-0.5,0.034,0.966,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.1,"Full-GMM",0.5,0.06,0.94,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.1,"DML-IVQR-BC",-0.5,0.064,0.936,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.9,0.1,"DML-IVQR-BC",0.5,0.058,0.942,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
